,unixtime,mmsi,nav_status,sog,position_accuracy,lat,lon,cog,true_heading,timestamp
156,"1622561362.3371081,",255805899,1,0.1000000014901161,0,51.9351,3.7734116666666666,321.79998779296875,64,21
157,"1622561362.4170518,",244100907,15,0.2000000029802322,0,51.944721666666666,4.171671666666667,1.0,326,22
158,"1622561362.7648935,",304068000,0,0.0,0,51.922745,4.217196666666666,89.80000305175781,37,23
159,"1622561363.0061073,",211734040,0,12.399999618530272,0,51.912731666666666,4.249268333333333,302.8999938964844,303,22
160,"1622561363.1414502,",244030516,0,4.699999809265137,1,51.93973,4.084828333333333,108.5999984741211,105,22
161,"1622561363.4683073,",244287000,0,25.5,1,51.9718,4.119816666666667,31.0,32,21
162,"1622561363.7465465,",250005693,0,7.099999904632568,1,51.96919166666667,4.133313333333334,126.0,126,23
163,"1622561363.8307128,",249525000,0,0.0,1,51.976216666666666,3.9907166666666662,252.0,171,21
164,"1622561363.8676295,",244750616,0,0.0,0,51.9596,3.995511666666667,226.1000061035156,174,23
165,"1622561363.992075,",431792000,5,0.2000000029802322,1,51.948385,4.05724,181.8000030517578,259,12
166,"1622561364.0027268,",249518000,0,0.0,0,51.95991333333333,4.009963333333333,259.8999938964844,352,24
167,"1622561364.0702727,",245209000,0,3.299999952316284,1,51.98019,4.093833333333333,107.1999969482422,105,23
168,"1622561364.1253715,",354654000,5,0.0,0,51.97428166666667,4.033935,342.29998779296875,290,1
169,"1622561364.7024539,",244050469,0,0.0,0,51.96119166666666,4.089875,249.1999969482422,193,24
170,"1622561364.9245343,",244660114,0,0.0,1,51.93711833333333,4.05265,73.69999694824219,69,24
171,"1622561365.0848925,",248352000,0,0.0,0,51.95990833333333,4.009736666666667,71.0999984741211,351,24
172,"1622561365.4073904,",249040000,0,8.300000190734863,1,51.97222333333333,4.095413333333333,72.0,79,21
173,"1622561365.4744,",245232000,0,0.1000000014901161,0,51.97715,4.125196666666667,271.3999938964844,11,25
174,"1622561365.4905286,",304642000,5,16.799999237060547,1,52.02966666666666,3.9415,292.0,299,23
175,"1622561365.5181575,",244287000,0,25.600000381469727,1,51.972116666666665,4.1201,28.0,32,24
176,"1622561366.0203462,",249689000,0,11.899999618530272,0,51.941316666666665,4.1958166666666665,298.0,298,25
177,"1622561366.2838087,",244030516,0,4.699999809265137,1,51.939708333333336,4.084931666666667,107.9000015258789,105,25
178,"1622561366.4707654,",211138300,0,0.0,1,51.963838333333335,4.095733333333333,327.1000061035156,297,26
179,"1622561366.7804217,",249532000,0,0.0,0,51.961,4.1405,258.0,38,23
180,"1622561366.7911005,",257048880,0,11.300000190734863,1,52.032415,3.9655416666666663,306.8999938964844,315,25
181,"1622561366.8192983,",305542000,8,0.0,0,51.96404666666667,4.094921666666667,32.599998474121094,295,27
182,"1622561366.9516134,",212115000,3,9.300000190734863,1,52.028975,4.046895,15.100000381469728,18,27
